,name,date,team,opponent,min,g,ass,tp,tpint,dis,dap,ta,tr,toques,tkl,interceps,blocks,xg,npxg,xag,act,acg,cmp,int_pass,po_cmp,prog,reg_success,reg_int
21,Aaron Cresswell,2020-09-12,West Ham,Newcastle Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,45.0,63.0,71.4,2.0,0.0,0.0
22,Aaron Cresswell,2020-09-19,West Ham,Arsenal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,64.0,80.0,80.0,3.0,0.0,0.0
23,Aaron Cresswell,2020-09-27,West Ham,Wolves,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,2.0,0.0,0.0,0.4,6.0,0.0,38.0,44.0,86.4,1.0,0.0,0.0
24,Aaron Cresswell,2020-10-04,West Ham,Leicester City,90.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,2.0,1.0,0.0,0.0,0.6,5.0,2.0,35.0,47.0,74.5,2.0,0.0,0.0
25,Aaron Cresswell,2020-10-18,West Ham,Tottenham,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,3.0,0.0,0.0,0.1,0.1,0.2,4.0,1.0,58.0,74.0,78.4,3.0,0.0,1.0
26,Aaron Cresswell,2020-10-24,West Ham,Manchester City,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,40.0,70.0,3.0,0.0,0.0
27,Aaron Cresswell,2020-10-31,West Ham,Liverpool,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,70.0,0.0,0.0,0.0
28,Aaron Cresswell,2020-11-07,West Ham,Fulham,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,101.0,1.0,1.0,0.0,0.2,0.2,0.4,7.0,0.0,78.0,92.0,84.8,5.0,0.0,0.0
29,Aaron Cresswell,2020-11-22,West Ham,Sheffield Utd,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,57.0,74.0,77.0,9.0,0.0,0.0
30,Aaron Cresswell,2020-11-30,West Ham,Aston Villa,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,43.0,62.8,2.0,0.0,0.0
31,Aaron Cresswell,2020-12-05,West Ham,Manchester Utd,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,74.0,0.0,1.0,0.0,0.1,0.1,0.1,5.0,0.0,60.0,75.0,80.0,3.0,0.0,0.0
32,Aaron Cresswell,2020-12-11,West Ham,Leeds United,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,1.0,0.0,0.0,0.2,4.0,2.0,32.0,50.0,64.0,4.0,0.0,0.0
33,Aaron Cresswell,2020-12-16,West Ham,Crystal Palace,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,48.0,62.0,77.4,4.0,0.0,1.0
34,Aaron Cresswell,2020-12-21,West Ham,Chelsea,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,42.0,63.0,66.7,1.0,0.0,0.0
35,Aaron Cresswell,2020-12-27,West Ham,Brighton,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,47.0,62.0,75.8,4.0,1.0,1.0
